name,price,url,image_url,image_path,category,pet_type
Royal Canin Fit 32 Adult Dry Cat Food,360.80,https://headsupfortails.com/products/royal-canin-fit-32-food-for-adult-cats-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Fit32-1_84333bc7-0571-4c30-b9a6-70d5d90bec17.png?v=1743273639,cat_images\Royal Canin Fit 32 Adult Dry Cat Food.jpg,Cat Dry Food,Cat
Whiskas Persian (3 In 1) Hair Solution Dry Food For Kitten,192.70,https://headsupfortails.com/products/whiskas-hair-related-solution-dry-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8906002486021_1.jpg?v=1744608316,cat_images\Whiskas Persian (3 In 1) Hair Solution Dry Food Fo.jpg,Cat Dry Food,Cat
Farmina N&D Chicken & Pomegranate Grain Free Adult Dry Cat Food,731.40,https://headsupfortails.com/products/farmina-n-d-grain-free-adult-cat-food-chicken-pomegranate,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DChicken_PomegranateGrainFreeAdultDryCatFood.jpg?v=1743766534,cat_images\Farmina N&D Chicken & Pomegranate Grain Free Adult.jpg,Cat Dry Food,Cat
Royal Canin Persian Kitten Dry Cat Food,570.40,https://headsupfortails.com/products/royal-canin-persian-kitten-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/PersianKitten-1.png?v=1743273610,cat_images\Royal Canin Persian Kitten Dry Cat Food.jpg,Cat Dry Food,Cat
Royal Canin Persian Adult Dry Cat Food,528.00,https://headsupfortails.com/products/royal-canin-persian-adult-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/PersianAdult-1.png?v=1743273645,cat_images\Royal Canin Persian Adult Dry Cat Food.jpg,Cat Dry Food,Cat
"Sheba Kitten & Adult, Chicken Flavour Irresistible Dry Cat Food",276.00,https://headsupfortails.com/products/sheba-kitten-adult-chicken-flavour-irresistible-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/ShebaKittenandAdult_IrresistibleDryCatFood_ChickenFlavour_400gPack_7.jpg?v=1744608519,"cat_images\Sheba Kitten & Adult, Chicken Flavour Irresistible.jpg",Cat Dry Food,Cat
Royal Canin Dry Food & HUFT Anchovy Fish Treats Combo For Persian Adult Cat,2287.12,https://headsupfortails.com/products/royal-canin-dry-food-anchovy-fish-treats,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/HUFTCB1080.jpg?v=1743273393,cat_images\Royal Canin Dry Food & HUFT Anchovy Fish Treats Co.jpg,Cat Dry Food,Cat
Whiskas Ocean Fish Dry Food For Adult Cat,220.90,https://headsupfortails.com/products/whiskas-ocean-fish-dry-food-for-adult-cats-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/9310022866401_2.jpg?v=1744608844,cat_images\Whiskas Ocean Fish Dry Food For Adult Cat.jpg,Cat Dry Food,Cat
Farmina Matisse Premium Salmon & Tuna Dry Cat Food,358.80,https://headsupfortails.com/products/matisse-premium-dry-cat-food-salmon-tuna,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaMatissePremiumSalmon_TunaDryCatFood.jpg?v=1743766541,cat_images\Farmina Matisse Premium Salmon & Tuna Dry Cat Food.jpg,Cat Dry Food,Cat
Orijen Biologically Appropriate Nutrition Original Adult Dry Cat Food,749.00,https://headsupfortails.com/products/orijen-cat-and-kitten-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/064992280345_340.jpg?v=1705638518,cat_images\Orijen Biologically Appropriate Nutrition Original.jpg,Cat Dry Food,Cat
