name,price,url,image_url,image_path,category,pet_type
"Hearty Oven-Baked Dry Food For Adult Dogs With Chicken, Duck & Brown Rice (All Breed)",250.00,https://headsupfortails.com/products/hearty-oven-baked-food-for-adult-dog,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/250gAdultFront.jpg?v=1744098043,dog_food_images\Hearty_Oven_Baked_Dry_Food_For_Adult_Dogs_With_Chi.jpg,Dry Food,Dog
Royal Canin Maxi Adult Dry Dog Food,902.00,https://headsupfortails.com/products/royal-canin-maxi-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/RoyalCaninMaxiAdultPelletDogFood_Chicken_4kg_Packof1.jpg?v=1743273563,dog_food_images\Royal_Canin_Maxi_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
Pedigree Chicken & Vegetables Adult Dry Dog Food,100.00,https://headsupfortails.com/products/pedigree-adult-dog-food-chicken-vegetables,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8906002482832.jpg?v=1744608850,dog_food_images\Pedigree_Chicken___Vegetables_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
"Hearty Oven-Baked Dry Food For Puppies With Chicken, Fish & Indian Herbs - All Breed",250.00,https://headsupfortails.com/products/hearty-oven-baked-food-for-puppy,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/250gpuppyFront_323e88d4-b432-4d2a-a4cd-60ad98181c9d.jpg?v=1739042541,dog_food_images\Hearty_Oven_Baked_Dry_Food_For_Puppies_With_Chicke.jpg,Dry Food,Dog
Farmina N&D Pumpkin Chicken & Pomegranate Grain Free Mini Breed Adult Dry Dog Food,874.00,https://headsupfortails.com/products/farmina-n-d-grain-free-chicken-pomegranate-adult-mini-breed-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DPumpkinChicken_PomegranateGrainFreeMiniBreedAdultDryDogFood-3_d5d13792-6e7a-413e-9876-3eefb40c049c.jpg?v=1743766520,dog_food_images\Farmina_N_D_Pumpkin_Chicken___Pomegranate_Grain_Fr.jpg,Dry Food,Dog
Royal Canin Maxi Puppy Dry Dog Food,947.60,https://headsupfortails.com/products/royal-canin-maxi-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550402460_01.jpg?v=1743273631,dog_food_images\Royal_Canin_Maxi_Puppy_Dry_Dog_Food.jpg,Dry Food,Dog
Pedigree PRO Expert Nutrition Dry Dog Food For Large Breed Puppy (3-18 Months),496.80,https://headsupfortails.com/products/pedigree-pro-expert-nutrition-dry-dog-food-food-for-large-breed-puppy-3-18-months-3kg-pack,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/7170678-1_PedigreeProPuppyLargeBreed3kg_FOP.jpg?v=1744608813,dog_food_images\Pedigree_PRO_Expert_Nutrition_Dry_Dog_Food_For_Lar.jpg,Dry Food,Dog
Royal Canin Mini Adult Dry Dog Food,773.00,https://headsupfortails.com/products/royal-canin-mini-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/SHN24-MINI_ADULT-DRY-PACKSHOT-B1_Editable_Version_1083422.jpg?v=1743273573,dog_food_images\Royal_Canin_Mini_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
Pedigree Chicken & Milk Dry Puppy Food,110.00,https://headsupfortails.com/products/pedigree-puppy-food-chicken-milk,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/PEDIGREE_PuppyChickenandMilkforNewBornDog.jpg?v=1744608865,dog_food_images\Pedigree_Chicken___Milk_Dry_Puppy_Food.jpg,Dry Food,Dog
Taste of the Wild Pacific Stream Grain Free Dry Puppy Food - Smoked Salmon,2250.00,https://headsupfortails.com/products/taste-of-the-wild-dry-puppy-food-grain-free-pacific-stream-with-smoked-salmon,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/TasteoftheWildPacificStreamGrainFreeDryPuppyFood-SmokedSalmon_cb2b8414-e4f4-49e1-9cff-4845b187e25d.jpg?v=1681965807,dog_food_images\Taste_of_the_Wild_Pacific_Stream_Grain_Free_Dry_Pu.jpg,Dry Food,Dog
